Id,Netto,Qta,Dim,Lav,Date,Cap,TipoAttivita,idMatrice,idCat,TipoCalc
251,81.41,55.26,4.0,1,2022-03-07,10010,BAR,1,1,T04
252,171.85,38.76,3.0,1,2022-03-07,10010,BAR,1,2,T04
253,25.86,7.67,3.0,1,2022-03-07,10010,BAR,1,3,T04
254,151.07,30.42,3.0,1,2022-03-07,10010,BAR,1,4,T04
255,0.0,0.0,0.0,0,2022-03-07,10010,BAR,1,5,T04
256,87.3,52.83,4.0,1,2022-03-14,10010,BAR,1,1,T04
257,378.34,80.34,4.0,1,2022-03-14,10010,BAR,1,2,T04
258,66.39,17.0,3.0,1,2022-03-14,10010,BAR,1,3,T04
259,158.92,29.06,3.0,1,2022-03-14,10010,BAR,1,4,T04
260,0.0,0.0,0.0,0,2022-03-14,10010,BAR,1,5,T04
261,245.75,105.29,5.0,1,2022-03-16,10010,BAR,1,1,T04
262,389.14,67.95,5.0,1,2022-03-16,10010,BAR,1,2,T04
263,48.63,18.64,3.0,1,2022-03-16,10010,BAR,1,3,T04
264,297.1,55.3,3.0,1,2022-03-16,10010,BAR,1,4,T04
265,0.0,0.0,0.0,0,2022-03-16,10010,BAR,1,5,T04
266,106.92,54.8,4.0,1,2022-03-21,10010,BAR,1,1,T04
267,282.33,59.72,5.0,1,2022-03-21,10010,BAR,1,2,T04
268,155.91,36.9,3.0,1,2022-03-21,10010,BAR,1,3,T04
269,192.42,34.12,3.0,1,2022-03-21,10010,BAR,1,4,T04
270,0.0,0.0,0.0,0,2022-03-21,10010,BAR,1,5,T04
271,241.0,120.79,4.0,1,2022-03-23,10010,BAR,1,1,T04
272,507.83,95.4,5.0,1,2022-03-23,10010,BAR,1,2,T04
273,25.62,22.46,3.0,1,2022-03-23,10010,BAR,1,3,T04
274,403.47,53.08,4.0,1,2022-03-23,10010,BAR,1,4,T04
275,0.0,0.0,0.0,0,2022-03-23,10010,BAR,1,5,T04
276,159.02,104.39,3.0,1,2022-03-25,10010,BAR,1,1,T04
277,618.58,90.01,4.0,1,2022-03-25,10010,BAR,1,2,T04
278,24.91,10.42,5.0,1,2022-03-25,10010,BAR,1,3,T04
279,577.13,108.15,6.0,1,2022-03-25,10010,BAR,1,4,T04
280,553.88,85.51,4.0,1,2022-03-25,10010,BAR,1,5,T04
281,174.02,86.55,5.0,1,2022-03-30,10010,BAR,1,1,T04
282,133.36,40.32,5.0,1,2022-03-30,10010,BAR,1,2,T04
283,26.85,12.48,3.0,1,2022-03-30,10010,BAR,1,3,T04
284,258.28,56.42,3.0,1,2022-03-30,10010,BAR,1,4,T04
285,0.0,0.0,0.0,0,2022-03-30,10010,BAR,1,5,T04
286,190.02,103.87,4.0,1,2022-04-01,10010,BAR,1,1,T04
287,274.77,51.26,5.0,1,2022-04-01,10010,BAR,1,2,T04
288,19.48,10.14,5.0,1,2022-04-01,10010,BAR,1,3,T04
289,497.88,115.64,6.0,1,2022-04-01,10010,BAR,1,4,T04
290,200.53,55.43,4.0,1,2022-04-01,10010,BAR,1,5,T04
291,135.72,100.29,5.0,1,2022-04-08,10010,BAR,1,1,T04
292,646.65,110.41,4.0,1,2022-04-08,10010,BAR,1,2,T04
293,11.52,6.33,4.0,1,2022-04-08,10010,BAR,1,3,T04
294,684.95,96.79,6.0,1,2022-04-08,10010,BAR,1,4,T04
295,510.95,86.73,4.0,1,2022-04-08,10010,BAR,1,5,T04
296,273.25,107.9,4.0,1,2022-04-10,10010,BAR,1,1,T04
297,543.13,80.19,3.0,1,2022-04-10,10010,BAR,1,2,T04
298,89.25,37.3,5.0,1,2022-04-10,10010,BAR,1,3,T04
299,910.53,198.89,6.0,1,2022-04-10,10010,BAR,1,4,T04
300,0.0,0.0,0.0,0,2022-04-10,10010,BAR,1,5,T04
301,0.0,0.0,0.0,0,2022-04-17,10010,BAR,1,1,T04
302,0.0,0.0,0.0,0,2022-04-17,10010,BAR,1,2,T04
303,37.37,17.23,5.0,1,2022-04-17,10010,BAR,1,3,T04
304,1021.24,262.93,6.0,1,2022-04-17,10010,BAR,1,4,T04
305,590.38,96.67,3.0,1,2022-04-17,10010,BAR,1,5,T04
306,202.81,127.23,3.0,1,2022-04-19,10010,BAR,1,1,T04
307,423.2,76.72,5.0,1,2022-04-19,10010,BAR,1,2,T04
308,74.57,29.28,3.0,1,2022-04-19,10010,BAR,1,3,T04
309,435.55,86.84,5.0,1,2022-04-19,10010,BAR,1,4,T04
310,0.0,0.0,0.0,0,2022-04-19,10010,BAR,1,5,T04
311,242.48,99.07,5.0,1,2022-04-24,10010,BAR,1,1,T04
312,681.91,128.69,5.0,1,2022-04-24,10010,BAR,1,2,T04
313,149.96,31.68,4.0,1,2022-04-24,10010,BAR,1,3,T04
314,701.91,142.08,5.0,1,2022-04-24,10010,BAR,1,4,T04
315,162.38,30.55,3.0,1,2022-04-24,10010,BAR,1,5,T04
316,95.82,50.0,3.0,1,2022-04-26,10010,BAR,1,1,T04
317,257.96,67.37,4.0,1,2022-04-26,10010,BAR,1,2,T04
318,101.25,25.35,4.0,1,2022-04-26,10010,BAR,1,3,T04
319,307.04,58.47,4.0,1,2022-04-26,10010,BAR,1,4,T04
320,0.0,0.0,0.0,0,2022-04-26,10010,BAR,1,5,T04
321,117.72,66.1,3.0,1,2022-05-03,10010,BAR,1,1,T04
322,489.81,83.59,4.0,1,2022-05-03,10010,BAR,1,2,T04
323,63.81,26.7,3.0,1,2022-05-03,10010,BAR,1,3,T04
324,656.17,118.93,3.0,1,2022-05-03,10010,BAR,1,4,T04
325,0.0,0.0,0.0,0,2022-05-03,10010,BAR,1,5,T04
326,141.51,69.57,5.0,1,2022-05-05,10010,BAR,1,1,T04
327,254.53,74.22,5.0,1,2022-05-05,10010,BAR,1,2,T04
328,91.81,24.07,3.0,1,2022-05-05,10010,BAR,1,3,T04
329,591.43,83.84,5.0,1,2022-05-05,10010,BAR,1,4,T04
330,0.0,0.0,0.0,0,2022-05-05,10010,BAR,1,5,T04
331,150.26,43.94,5.0,1,2022-01-06,10010,BAR,1,1,T04
332,317.17,92.13,5.0,1,2022-01-06,10010,BAR,1,2,T04
333,176.79,69.58,4.0,1,2022-01-06,10010,BAR,1,3,T04
