chart_date,country,release_cohort_month,chart_tracks,streams,average_rank,average_days_since_release
2026-06-23,IT,2026-02-01,13,1214950,81.00000000000001,121.07692307692308
2026-06-23,IT,2026-05-01,15,1806871,72.13333333333334,36.0
2026-06-23,IT,2026-01-01,16,1370710,97.75,154.5
2026-06-23,IT,2026-04-01,19,1944322,73.8421052631579,70.21052631578947
2026-06-23,IT,2026-06-01,22,2075928,78.86363636363637,10.136363636363635
2026-07-10,IT,2022-07-01,1,53158,195.0,1465.0
2026-07-10,IT,2013-01-01,1,92035,69.0,4938.0
2026-07-10,IT,2016-04-01,1,59907,158.0,3731.0
2026-07-10,IT,2020-09-01,1,56696,175.0,2114.0
2026-07-10,IT,2019-04-01,1,62484,142.0,2653.0
2026-07-10,IT,2011-12-01,1,54961,181.0,5317.0
2026-07-10,IT,1998-01-01,1,68665,116.0,10417.0
2026-07-10,IT,2014-08-01,1,61967,144.0,4357.0
2026-07-10,IT,1993-01-01,1,69279,113.0,12243.0
2026-07-10,IT,2020-10-01,1,53340,193.0,2079.0
2026-07-10,IT,1995-01-01,1,100095,62.0,11513.0
2026-07-10,IT,2023-02-01,1,61608,147.0,1246.0
2026-07-10,IT,2018-10-01,1,69829,111.0,2824.0
2026-07-10,IT,2023-05-01,1,54752,183.0,1148.0
2026-07-10,IT,2018-11-01,1,61665,146.0,2779.0
2026-07-10,IT,2024-02-01,1,53970,189.0,889.0
2026-07-10,IT,1983-06-01,1,58954,164.0,15729.0
2026-07-10,IT,2023-07-01,1,59997,156.0,1099.0
2026-07-10,IT,2012-10-01,1,58880,165.0,5022.0
2026-07-10,IT,2024-05-01,1,84851,83.0,784.0
2026-07-10,IT,2018-02-01,1,73106,101.0,3073.0
2026-07-10,IT,2021-10-01,1,53595,191.0,1722.0
2026-07-10,IT,2025-11-01,1,126057,45.0,245.0
2026-07-10,IT,2012-12-01,1,52848,196.0,4963.0
2026-07-10,IT,2016-01-01,1,63035,138.0,3822.0
2026-07-10,IT,2017-11-01,1,52488,198.0,3150.0
2026-07-10,IT,2022-05-01,1,93189,67.0,1526.0
2026-07-10,IT,2022-09-01,1,65643,132.0,1393.0
2026-07-10,IT,2011-04-01,1,70627,109.0,5551.0
2026-07-10,IT,2013-06-01,1,56350,177.0,4784.0
2026-07-10,IT,1992-01-01,1,54742,184.0,12609.0
2026-07-10,IT,2016-10-01,1,56720,174.0,3549.0
2026-07-10,IT,2018-04-01,1,53418,192.0,3003.0
2026-07-10,IT,2017-10-01,1,64559,133.0,3199.0
2026-07-10,IT,2024-09-01,1,82655,88.0,665.0
2026-07-10,IT,1999-01-01,1,59008,163.0,10052.0
2026-07-10,IT,2009-03-01,1,54520,186.0,6315.0
2026-07-10,IT,2017-05-01,1,87141,77.0,3353.0
2026-07-10,IT,2022-06-01,1,76050,97.0,1498.0
